"id","first_option","first_link","second_option","second_link","probability"
"start29","Lamellen vrij wijd uiteen. Geurloos","Strobilurus esculentus ss. lato","Lamellen normaal gedrongen. Met sterke radijsgeur. Steel na doorbreken meestal wit sap uitscheidend","Mycena galopus","1"
"start30","Paddenstoel kurkachtig-taai. Steel wit, met donkerbruine schubjes. Hoed bleek, met donkerbruine schubjes Lamelsnede gezaagd. Op hout","Lentinus tigrinus","Paddenstoel vlezig, soms wel wat taai. Hoed en steel zonder donkerbruine schubjes op bleke ondergrond","start31","1"
"start31","Steel donkerbruin fluwelig-harig. Hoed oranjebruin. Laat in het seizoen (winter)","Flammulina velutipes","Steel niet bruin en fluwelig-harig","start32","1"
"start32","Lamelsnede gezaagd. Lamellen zeer dicht opeen, smal aangehecht. Smaak bitter. Hoed wittig, later met roestbruine vlekken","Rhodocollybia maculata","Niet met deze combinatie van kenmerken","start33","1"
"start33","Lamellen regelmatig gevorkt. Hoed dooiergeel tot oranje","Hygrophoropsis aurantiaca","Lamellen niet of nauwelijks gevorkt","start34","1"
"start34","Lamellen op de steel aflopend. Hoed meestal trechtervormig of genaveld","start35","Lamellen smal tot breed aangehecht of bochtig aangehecht. Hoed meestal vlak tot convex","start44","1"
"start35","Steel dikker dan 3 mm. Vruchtlichaam vlezig","start36","Steel dunner, 0,2-3 mm. Vruchtlichaam dunvlezig","start38","1"
"start36","Paddenstoel in bundels groeiend","start37","Paddenstoel niet in dichte bundels groeiend","trechterzwammen1","1"
"start37","Hoed wit. Lamellen met toversteentje lila","Clitocybe connata","Hoed bruin. Lamellen met toversteentje niet verkleurend","Lyophyllum fumosum ss. lato","1"
"start38","Hoedoppervlak fijn behaard (L!). Steel fijn behaard. Tussen mos","start39","Hoedoppervlak kaal of poederig (L!). Steel kaal, vlokkig of behaard","start40","1"
"start39","Hoed en steel oranje","Rickenella fibula","Hoedcentrum en steeltop violetzwart","Rickenella swartzii","1"
"start40","Op levermossen (Marchantia)","Loreleia postii ss. lato","Op ander substraat","start41","1"
"start41","Lamellen overlangs splijtend. Op brandplekken","Myxomphalia maura","Lamellen niet overlangs splijtend. Niet op brandplekken","start42","1"
"start42","Vlees met duidelijke meelgeur. Hoed, steel en lamellen grijs","Mycena cinerella","Vlees zonder duidelijke meelgeur, soms wel met andere opvallende geur","start43","1"
"start43","Hoed en steel wit of helder gekleurd, geel, oranje, rood, roze of met violette tint. (indien meer somber gekleurd, dan op hout groeiend)","mycenas1","Hoed en steel blauwgroen, (rood)bruin tot donker grijsbruin","trechterzwammen1","1"
"start44","Lamellen uitgebocht (emarginaat), dwz vlak bij de steel versmald en een gootje vormend","start45","Lamellen niet uitgebocht","start51","1"
"start45","Op naaldhout groeiend. Hoed paarsrood. Lamellen grof-gewimperd, geel","Tricholomopsis rutilans","Op de grond groeiend. Niet met de combinatie van paarsrode hoed en gele lamellen","start46","1"
"start46","Lamellen bij beschadiging blauw of zwart vlekkend","Lyophyllum deliberatum ss. lato","Lamellen bij beschadiging niet blauw of zwart vlekkend","start47","1"
"start47","Hoed, steel en/of lamellen met paarse tint","schijnridderzwammen1","Paddenstoel zonder paarse tint","start48","1"
"start48","Voorjaarssoort. Hoed wittig tot crème. Geur melig, sterk","Calocybe gambosa","Paddenstoel in zomer en herfst groeiend; indien in voorjaar groeiend dan hoed niet wit en paddenstoel zonder meelgeur","start49","1"
"start49","Hoed dunvlezig, roze, met contrasterende witte lamellen. In graslanden","Calocybe carnea","Hoed dikvlezig, niet roze","start50","1"
"start50","Hoed met opvallende umbo (centrale bult), ingegroeid vezelig. In graslanden","veldridderzwammen1","Hoed zonder opvallende umbo. In bossen of bij verspreid staande bomen","ridderzwammen1","1"
"start51","Sporee okergeel. Lamellen zeer dicht open. Geur sterk, naar Limburgse kaas","Clitocybe nebularis","Sporee wittig tot hoogstens lichtgeel","start52","1"
"start52","Paddenstoel vlezig. Hoed wittig, als gevernist (glacé) uitziend. Op bladeren en naalden in bossen","Clitocybe phyllophila","Paddenstoel meer dunvlezig. Hoed niet als gevernist uitziend","start53","1"
"start53","Paddenstoel met duidelijke meelgeur. Hoed grauwbruin. Tussen veenmos, of op stikstofrijke plekken (bijv. plasplekken van konijnen)","start54","Paddenstoel zonder meelgeur. Hoed meestal niet grijs, donker grijsbruin tot zwart. Meestal op andere standplaatsen","start55","1"
"start54","Tussen veenmos","Lyophyllum palustre","Op stikstofrijke plekken (plasplekken van konijnen, rottende paddenstoelen)","Lyophyllum tylicolor","1"
"start55","Hoed wit tot wittig","start56","Hoed gekleurd","start58","1"
"start56","Lamellen dicht opeen. Op gemummificeerde resten van paddenstoelen. Steel aan de basis vaak met (geel) bruin of purper knolletje (sclerotium)","taailingen1","Lamellen niet dicht opeen. Niet op gemummificeerde resten van paddenstoelen. Steel zonder knolletje (sclerotium)","start57","1"
"start57","Hoed min of meer vlak. Steel vlokkig aan de basis","taailingen1","Hoed klokvormig. Steel kaal of fijn donzig-behaard","mycenas1","1"
"start58","Steel taai, dwz buigbaar zonder te breken","taailingen1","Steel niet taai, breekbaar (maar taai, glad en glanzend bij Mycena vitilis)","mycenas1","1"
"start59","Sporee duidelijk rozebruin tot zalmkleurig (oud roze), zelden rood. (Indien lichtroze dan eerst bij witsporige soorten uitsleutelen, terug naar couplet 10!)","start60","Sporee geelbruin, bruin, donkerbruin, purperbruin tot zwart","start63","1"
"start60","Sporee rood. Hoed poederig","Melanophyllum haematospermum","Sporee oudroze. Hoed niet poederig","start61","1"
"start61","Lamellen vrij","start62","Lamellen niet vrij, smal tot breed aangehecht of aflopend","satijnzwammen1","1"
"start62","Steel zonder volva","hertenzwammen1","Steel met volva (zak) aan de basis","beurszwammen1","1"
"start63","Sporee geelbruin, bruin tot roestbruin (dus niet zeer donker)","start64","Sporee donkerbruin, purperbruin tot (vrijwel) zwart","start93","1"
"start64","Lamellen aflopend","start65","Lamellen niet aflopend","start67","1"
"start65","Lamellen gemakkelijk van hoedvlees te scheiden","krulzomen1","Lamellen niet gemakkelijk van vlees te scheiden","start66","1"
"start66","Hoed wit, viltig, met gewimperde rand","Ripartites tricholoma","Hoed geelbruin tot bruin, aan de rand niet gewimperd","donsvoetjes1","1"
"start67","Paddenstoel met duidelijke ring","start68","Paddenstoel zonder duidelijke ring, wel soms met ringvormige velumresten of gordijn op de steel","start74","1"
"start68","Hoed slijmerig, blauwgroen, met witte vlokjes aan de rand","Stropharia caerulea","Hoed zonder blauwgroene tinten","start69","1"
"start69","Paddenstoel relatief fors, dikvlezig","start70","Paddenstoel relatief tenger, dunvlezig, in de hoed minder dan 1 mm dik","start73","1"
"start70","Hoed hygrofaan, bij droogte opblekend en dan met licht centrum en donker gekleurde rand. Steel onder de ring geschubd. In dichte bundels op loofhout","Kuehneromyces mutabilis","Hoed niet hygrofaan, bij droogte niet opblekend en niet opvallend tweekleurig","start71","1"
"start71","Paddenstoel op de grond, in bundels aan de basis van levende populieren, op populierenstronken, of op snipperhopen","leemhoeden1","Paddenstoel op hout, maar niet in bundels aan de basis van populieren","start72","1"
"start72","Vlees bitter smakend","Gymnopilus junonius","Vlees niet bitter smakend","bundelzwammen1","1"
"start73","Hoedoppervlak dof-glimmerig (L!). Meestal op kale, voedselrijke bodem","Pholiotina arrhenii-groep","Hoedoppervlak ingegroeid-vezelig. Tussen mos of op hout","mosklokjes1","1"
"start74","Vruchtlichaam bij rijpheid vervloeiend","start75","Vruchtlichaam bij rijpheid niet vervloeiend","start77","1"
"start75","Hoedrand gegroefd, met gelatineuze laag overdekt. Hoed breder dan hoog","start76","Hoedrand niet gegroefd, niet gelatineus. Hoed hoger dan breed, (vuil) wit","Conocybe albipes","1"
"start76","Op de grond","Bolbitius titubans","Op hout. Hoed (donker) violetgrijs","Bolbitius reticulatus","1"
"start77","Hoedoppervlak (L!) dof, bestaande uit ronde cellen en hoed daardoor dof-glimmerig tot iets korrelig","start78","Hoedoppervlak ingegroeid vezelig, of met opstaande haren, vlokken of schubben, soms slijmerig-kleverig","start82","1"
"start78","Hoedoppervlak iets schilferig-pluizig. Bij els of wilg","zompzwammen1","Hoedoppervlak dof-glimmerig","start79","1"
"start79","Hoed met olijfgroene tinten (soms weinig opvallend)","Simocybe centunculus-groep","Hoed zonder olijfgroene tint","start80","1"
"start80","Steel vlokkig. Op beukennapjes","Flammulaster subincarnatus","Steel niet vlokkig, soms wel bepoederd. Op andere substraten","start81","1"
"start81","Paddenstoel relatief vlezig. Steel overlangs vezelig","leemhoeden1","Paddenstoel slank, Mycena-achtig, dunvlezig. Steel bepoederd of harig","breeksteeltjes1","1"
"start82","Sporee roestbruin","gordijnzwammen1","Sporee niet roestbruin, maar geelbruin tot vaalbruin","start83","1"
"start83","Hoedoppervlak duidelijk slijmerig-kleverig, soms met in slijm ingebedde schubjes","start84","Hoedoppervlak glad (soms iets vettig-kleverig), vezelig tot harig-fijnschubbig tot grof schubbig","start85","1"
"start84","Steel vezelig, niet bepoederd. Sporee geelbruin. Geur niet naar radijs","bundelzwammen1","Steel tenminste aan de top of over de gehele lengte bepoederd. Sporee vaalbruin. Geur naar radijs of gebrande suiker","vaalhoeden1","1"
"start85","Hoed met rechtopstaande schubben","start86","Hoed glad, vezelig tot harig of fijn schubbig","start87","1"
"start86","Sporee geelbruin. Op hout (soms op begraven hout en dan schijnbaar op de grond groeiend), vaak in bundels","bundelzwammen1","Sporee vaalbruin. Op de grond, nooit in bundels","vezelkoppen1","1"
"start87","Hoed hygrofaan, vaak (maar niet altijd) doorschijnend gestreept. Paddenstoel klein, dunvlezig","start88","Hoed niet hygrofaan, bij opdrogen nauwelijks verblekend, zonder gestreepte rand, relatief dikvlezig","start89","1"
"start88","Op hout of tussen mos","mosklokjes1","In bossen en struwelen, bij els of wilg","zompzwammen1","1"
"start89","Paddenstoel op hout groeiend","start90","Paddenstoel op de grond groeiend","start91","1"
"start90","Hoed en steel met witte schubben. Op zaagvlak van populierenstammen","Hemipholiota populnea","Hoed en steel zonder witte schubben. Lamellen geelbruin, wat vlekkerig","Gymnopilus penetrans","1"
"start91","Paddenstoel op afgeplagde vochtige heidevelden of brandplekken. Hoed en vlees met gele tinten","Gymnopilus fulgens","Paddenstoel in bossen of in met bomen beplante wegbermen","start92","1"
"start92","Bij els of wilg op vochtige bodem. Hoedoppervlak wat pluizig, mat","zompzwammen1","Bij andere bomen, op droge tot vochtige bodem. Hoed satijnig, vezelig, vezelspletig, wollig tot aanliggend vezelig-schubbig (en schubben later opbrekend)","vezelkoppen1","1"
"start93","Lamellen aflopend, dik en wijd uiteen. Bij naaldbomen","spijkerzwammen1","Lamellen niet aflopend, niet dik en wijd uiteen","start94","1"
"start94","Steel met ring","start95","Steel zonder ring","start98","1"
"start95","Lamellen vrij, meestal zeer dicht opeen","champignons1","Lamellen aangehecht","start96","1"
"start96","Hoed glad, vezelig, kleverig tot slijmig ingegroeid vezelig tot schubbig","kaalkopjes1","Hoed dof-glimmerig, uit ronde cellen bestaand (L!), soms met velum overdekt, vooral naar de hoedrand","start97","1"
"start97","Sporen ongelijktijdig rijp wordend, daardoor lamellen vlekkerig-gemarmerd. Steel meestal met zelfde kleur als hoed","vlekplaten1","Sporen gelijktijdig rijpend, daardoor lamellen niet vlekkerig-gemarmerd. Steel meestal wittig","franjehoeden1","1"
"start98","Lamellen tranend, bij rijpe exemplaren waterige druppels uitscheidend","Lacrymaria lacrymabunda","Lamellen bij volwassen exemplaren niet tranend","start99","1"
"start99","Lamellen bij rijpheid vervloeiend of bijna verdwijnend","inktzwammen1","Lamellen bij rijpheid niet vervloeiend","start100","1"
"start100","Hoed opvallend radiair geplooid-gegroefd","parasolzwammen1","Hoed niet opvallend geplooid-gegroefd","start101","1"
"start101","Hoed en / of steel slijmerig","kaalkopjes1","Hoed en steel droog","start102","1"
"start102","Sporee met purpertint","kaalkopjes1","Sporee zonder purpertint","start103","1"
"start103","Sporen ongelijktijdig rijp wordend, daardoor lamellen vlekkerig-gemarmerd. Steel meestal met zelfde kleur als hoed. Meestal in bemeste graslanden","vlekplaten1","Sporen + gelijktijdig rijpend, daardoor lamellen egaal zwart, niet vlekkerig-gemarmerd","start104","1"
"start104","Hoed kaal of fijn-vezelig","franjehoeden1","Hoed met fijne opstaande haartjes. In dichte bundels op hout of solitair op mest groeiend","inktzwammen1","1"
"boleten1","Paddenstoel taai, niet vlezig. Buisjes niet van vlees te scheiden","gaatjeszwammen1, niet behandeld","Paddenstoel vlezig, vergankelijk. Buisjes gemakkelijk van vlees te scheiden","boleten2","1"
"boleten2","Paddenstoel aangehecht aan vruchtlichamen van de aardappelbovist","Pseudoboletus parasiticus","Paddenstoel niet aangehecht aan vruchtlichamen van de aardappelbovist","boleten3","1"
"boleten3","Steel met ring","boleten4","Steel zonder ring","boleten6","1"
"boleten4","Hoed viltig, droog, oranjebruin tot steenrood, soms geel. Steel hol. Bij lariks","Suillus cavipes","Hoed slijmerig, bruin of geel, Steel niet hol","boleten5","1"
"boleten5","Steel boven de ring wit, met kleine bruine stippeltjes. Hoed bruin. Bij den","Suillus luteus","Steel boven de ring geel, kaal. Hoed geel ror bruingeel. Bij lariks","Suillus grevillei","1"
"boleten6","Steelbasis met fel geel vilt. Vlees in steelbasis fel geel. Smaak (soms na enige tijd) zeer scherp","Chalciporus piperatus","Steelbasis zonder fel geel vilt. Vlees gewoonlijk mild, soms bitter","boleten7","1"
"boleten7","Steel hol of gekamerd. Sporee strogeel","Gyroporus castaneus","Steel gevuld, niet hol. Sporee roze tot geelbruin, olijfbruin tot donkerbruin","boleten8","1"
"boleten8","Steeloppervlak met een duidelijk netwerk","boleten9","Steeloppervlak zonder netwerk, glad of met schubjes","boleten14","1"
"boleten9","Buisjes roze. Sporee roze. Smaak bitter. Netwerk op de steel licht bruin","Tylopilus felleus","Buisjes niet roze. Sporee geelbruin tot olijfbruin Smaak meestal niet bitter. Netwerk wit, geel of rood","boleten10","1"
"boleten10","Netwerk geel tot rood. Buisjes geel tot rood","boleten11","Netwerk wit. Buisjes wit tot olijfgeel","boleten13","1"
"boleten11","Netwerk geel. Vlees aan de lucht niet blauw verkleurend","boleten12","Netwerk rood. Vlees aan de lucht donker blauw verkleurend","Boletus luridus","1"
"boleten12","Hoed fluwelig-viltig. Steel gelijkdik, naar de basis soms versmald. Smaak mild","Xerocomus subtomentosus","Hoed glad. Steel naar de basis knotsvormig opgezwollen. Smaak bitter","Boletus radicans","1"
"boleten13","Netwerk alleen aan de steeltop, tot maximaal halverwege doorlopend. Hoed vettig","Boletus edulis","Netwerk vaak tot aan de steelbasis doorlopend. Hoed viltig","Boletus reticulatus","1"
"boleten14","Steel naar de basis sterk knotsvormig gezwollen. Porien oranje tot rood. Vlees aan de lucht snel en intens blauw verkleurend. Steel met fijne rode vlokjes. Vlees mild","Boletus erythropus","Steel naar de basis gelijkdik tot hoogstens iets dikker wordend","boleten15","1"
"boleten15","Vlees in steel en hoed aan de lucht opvallend verkleurend, donkerblauw of eerst rozerood en dan violetzwart","boleten16","Vlees aan de lucht niet verkleurend, of blauw in de hoed wordend maar wit in steel, of wit in hoed en blauwgroen in steelbasis","boleten18","1"
"boleten16","Steel geel aan de top, glad, zonder schubjes. Vlees aan de lucht snel donkerblauw verkleurend","Boletus pulverulentus","Steel wittig, met duidelijk donkerder schubjes. Vlees aan de lucht violetgrijs, of eerst rozerood, later violetzwart","boleten17","1"
"boleten17","Hoed roodbruin. Vlees aan de lucht violetgrijs verkleurend","Leccinum aurantiacum ss. lato","Hoed grijs tot bruin. Vlees aan de lucht rozerood, later violetzwart","Leccinum duriusculum","1"
"boleten18","Steel met grijzige, bruine tot zwarte schubjes","boleten19","Steel glad","boleten21","1"
"boleten19","Hoed donkerbruin met okerkleurige of grauw-witte vlekken. Vlees stevig","Leccinum variicolor","Hoed zonder okerkleurige vlekken. Vlees relatief week","boleten20","1"
"boleten20","Steel bleek, met kleine, donkerder afstaande schubjes. Steelbasis zonder blauwgroene tint","Leccinum scabrum","Steel grijzig met nauwelijks contrasterende, aanliggende wollige schubjes. Steelbasis met blauwgroene tint","Leccinum cyaneobasileucum","1"
"boleten21","Hoed slijmig","boleten22","Hoed droog","boleten24","1"
"boleten22","Poriën geelgroen tot geelbruin, bij beschadiging vuil blauwgroen. Hoed kastanjebruin","Xerocomus badius","Poriën bij beschadiging niet vuil blauwgroen. Hoed okerbruin, oranjebruin of lichtbruin","boleten23","1"
"boleten23","Steel met gele spikkeltjes. Poriën rond, in jonge toestand met witte druppeltjes","Suillus granulatus","Steel zonder gele spikkeltjes. Poriën grover, onregelmatig-hoekig, zonder witte druppeltjes","Suillus bovinus","1"
"boleten24","Hoed wollig-schubbig. Bij den","Suillus variegatus","Hoed fluwelig, soms gecraqueleerd, maar nooit wollig-schubbig. Meestal bij loofbomen","boleten25","1"
"boleten25","Hoed bloedrood tot kersrood","Xerocomus rubellus","Hoed niet zo helder rood getint","boleten26","1"
"boleten26","Poriën helder geel. Hoed niet openbarstend","Xerocomus subtomentosus","Poriën okergeel, olijfgeel of groenig geel","boleten27","1"
"boleten27","Poriën geelgroen tot geelbruin, bij beschadiging vuil blauwgroen. Hoed kastanjebruin","Xerocomus badius","Poriën bij beschadiging niet vuil blauwgroen, soms wel blauw","boleten28","1"
"boleten28","Hoed donker grijsbruin. Vlees onder hoedoppervlak zonder rode tint","Xerocomus porosporus","Hoed niet zo donker gekleurd. Vlees onder hoedoppervlak roze tot rood","boleten29","1"
"boleten29","Vlees in de uiterste steelbasis met fel oranje stipjes (L!, soms slechts enkele aanwezig). Poriën en vlees niet blauw verkleurend","Xerocomus declivitatum","Vlees zonder oranje stipjes. Poriën en vlees blauw verkleurend na kneuzing","Xerocomus cisalpinus","1"
"schelpzwammen1","Onderzijde vrijwel glad of met aders, zonder duidelijke lamellen","schelpzwammen2","Onderzijde met duidelijke lamellen","schelpzwammen4","1"
"schelpzwammen2","Op takjes. Hoed geelbruin, oranjebruin of soms blauwig, naar de rand wittig","Plicaturopsis crispa","Op kruidachtigen of mossen. Hoed wit, gelig of licht grijs","schelpzwammen3","1"
"schelpzwammen3","Op mossen","Arrhenia retiruga","Op kruidachtigen (vaak brandnetel)","Calyptella capula-groep","1"
"schelpzwammen4","Lamellen overlangs gespleten, bij droogte naar beide naastliggende lamellen omkrullend. Op loofhout (soms naaldhout), vooral op open plaatsen","Schizophyllum commune","Lamellen niet gespleten, niet bij droogte omkrullend","schelpzwammen5","1"
"schelpzwammen5","Lamellen grof-gekarteld gezaagd. Geur sterk naar anijs","Lentinellus cochleatus","Lamellen niet grof gekarteld-gezaagd; lamelsnede gaaf tot bewimperd","schelpzwammen6","1"
"schelpzwammen6","Sporee bruin","schelpzwammen7","Sporee wit tot oudroze","schelpzwammen12","1"
"schelpzwammen7","Lamellen gemakkelijk van hoedvlees te scheiden. Paddenstoel relatief dikvlezig. Op naaldhout","Tapinella panuoides","Lamellen niet van vlees te scheiden. Paddenstoel dunvlezig","schelpzwammen8","1"
"schelpzwammen8","Hoed wit tot geelachtig. Steel alleen in zeer jonge exemplaren zichtbaar, paddenstoel later zijdelings aangehecht. Sporee geelbruin tot rozebruin. Op hout of stengels van kruidachtige planten","schelpzwammen9","Hoed bruin tot grijsbruin. Steel excentrisch of zijdelings aangehecht, ook duidelijk zichtbaar bij oudere vruchtlichamen","schelpzwammen11","1"
"schelpzwammen9","Vlees met een elastische, gelatineuze laag","Crepidotus mollis","Vlees zonder elastische, gelatineuze laag","schelpzwammen10","1"
"schelpzwammen10","Hoed geel. Op stengels van kruiden","Crepidotus luteolus","Hoed wit. Op takjes","Crepidotus variabilis ss. lato","1"
"schelpzwammen11","Hoed glad, grijsbruin. Sporee licht purperbruin","Deconica horizontalis ss. lato","Hoed iets melig-korrelig (L!), niet glad, geelbruin (met olijftint). Sporee bruin. Meestal op takjes","Simocybe haustellaris","1"
"schelpzwammen12","Sporee oudroze","schelpzwammen13","Sporee wit of bleek geel","schelpzwammen14","1"
"schelpzwammen13","Groot. Hoedhuid gelatineus, sterk geaderd. Hoed oranjeroze. Op iepenhout","Rhodotus palmatus","Klein. Hoedhuid niet gelatineus, oppervlak niet geaderd, wit","Clitopilus hobsonii","1"
"schelpzwammen14","Paddenstoel in jonge toestand met velum aan de hoedrand","Pleurotus dryinus","Paddenstoel zonder velum","schelpzwammen15","1"
"schelpzwammen15","Hoedhuid en vlees met gelatineuze laag","schelpzwammen16","Hoedhuid en vlees zonder gelatineuze laag (maar soms lamelsnede gelatineus!)","schelpzwammen18","1"
"schelpzwammen16","Hoed geelgroen tot donker groenbruin. Laat in het jaar verschijnend","Sarcomyxa serotina","Hoed zonder groene tinten","schelpzwammen17","1"
"schelpzwammen17","Hoed klein, tot 15 mm, donker grijsbruin, fijn schubbig-harig. Lamellen grijzig met witte snede","Resupinatus applicatus ss. lato","Hoed groter, tot 40 mm, viltig. Lamellen wit, zonder opvallend gekleurde snede","Hohenbuehelia atrocoerulea-groep","1"
"schelpzwammen18","Vlees scherp smakend, als peper. Hoed grauw okergeel. Op eikenhout","Panellus stipticus","Vlees niet scherp smakend","schelpzwammen19","1"
"schelpzwammen19","Op naaldhout. Hoed wit, klein. Lamelsnede gelatineus","Panellus mitis","Op loofhout. Hoed gekleurd of wit, groot. Lamelsnede niet gelatineus","Pleurotus ostreatus","1"
"melkzwammen1","Melksap oranje (kleur van worteltjes)","melkzwammen2","Melksap met andere kleur","melkzwammen3","1"
"melkzwammen2","Onder den. Hoed zonder groenige tinten","Lactarius deliciosus","Onder fijnspar. Hoed met duidelijk groene tinten","Lactarius deterrimus","1"
"melkzwammen3","Hoed wittig of zeer bleek gekleurd, ook bij jonge exemplaren","melkzwammen4","Hoed duidelijk gekleurd, vooral bij jonge exemplaren","melkzwammen6","1"
"melkzwammen4","Hoed groot, meer dan 10 cm diameter","melkzwammen5","Hoed kleiner, minder dan 10 cm diameter. Hoedrand wollig-harig. Bij berk","Lactarius pubescens","1"
"melkzwammen5","Hoed kleverig. Lamellen roze. Melksap scherp. Bij populier en kruipwilg","Lactarius controversus","Hoed fluwelig-viltig. Lamellen zonder roze. Melksap mild (maar vlees wel scherp!). Bij loofbomen, maar niet bij populier of wilg","Lactifluus vellereus","1"
"melkzwammen6","Hoedrand wollig-harig ('baardig'). Bij berk","melkzwammen7","Hoedrand zonder haren, soms is de hoedrand wel iets fluweliger dan de rest van het hoedoppervlak","melkzwammen8","1"
"melkzwammen7","Hoed sterk concentrisch gezoneerd, vleeskleurig of meer oranjebruin","Lactarius torminosus","Hoed niet of nauwelijks gezoneerd, bleek roze of oranje","Lactarius pubescens","1"
